address,city,state,full_address,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,roof,roof_confidence,img_used
119 W SYCAMORE ST,Ogden,Iowa,"119 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,49.09,poor_siding,39.78,good_gutter,68.01,FALSE,0,G_OG_119 W SYCAMORE ST_
319 NW 2ND ST,Ogden,Iowa,"319 NW 2ND ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.07,poor_siding,36.44,good_gutter,69.47,FALSE,0,G_OG_319 NW 2ND ST_
125 W SYCAMORE ST,Ogden,Iowa,"125 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.92,poor_siding,37.81,good_gutter,62.03,FALSE,0,G_OG_125 W SYCAMORE ST_
207 W MAPLE ST,Ogden,Iowa,"207 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.92,poor_siding,38.01,good_gutter,65.98,FALSE,0,G_OG_207 W MAPLE ST_
426 N 1ST ST,Ogden,Iowa,"426 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,41.6,poor_siding,34.75,good_gutter,52.31,FALSE,0,G_OG_426 N 1ST ST_
402 NW 2ND ST,Ogden,Iowa,"402 NW 2ND ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
407 NW 3RD ST,Ogden,Iowa,"407 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,48.45,poor_siding,37.99,poor/no_gutter,64.92,FALSE,0,G_OG_407 NW 3RD ST_
125 W MAPLE ST,Ogden,Iowa,"125 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.18,poor_siding,36.7,good_gutter,70.27,FALSE,0,G_OG_125 W MAPLE ST_
219 W MAPLE ST,Ogden,Iowa,"219 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
119 W MAPLE ST,Ogden,Iowa,"119 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.14,poor_siding,35.98,good_gutter,71.12,FALSE,0,G_OG_119 W MAPLE ST_
619 W MAPLE ST,Ogden,Iowa,"619 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
